cluster_name,Total_count,Total_UNIQUE_count,Percent that is UNIQUE,artpedia_count_evoker_imgs,artpedia_evocation_average,artpedia_count_UNIQUE_evoker_imgs,artpedia_UNIQUE_average_evocation,advise_count_evoker_imgs,advise_evocation_average,advise_count_UNIQUE_evoker_imgs,advise_UNIQUE_average_evocation,artemis_count_evoker_imgs,artemis_evocation_average,artemis_count_UNIQUE_evoker_imgs,artemis_UNIQUE_average_evocation,tate_count_evoker_imgs,tate_evocation_average,tate_count_UNIQUE_evoker_imgs,tate_UNIQUE_average_evocation
danger,2463,1440,58.4652862362972,15,1,10,1,1072,1.39832089552239,531,1.38229755178908,1336,1.06437125748503,879,1.02957906712173,40,1,20,1
death,3837,2824,73.599166015116,90,1.12222222222222,84,1.11904761904762,658,1.6838905775076,309,1.60194174757282,2278,1.17954345917471,1732,1.15357967667437,811,1,699,1
adventure,11800,10885,92.2457627118644,11,1.09090909090909,9,1.11111111111111,942,1.31422505307856,624,1.31089743589744,1177,1.07646559048428,728,1.04258241758242,9670,1,9524,1
power,3791,2744,72.3819572672118,66,1.04545454545455,59,1.05084745762712,582,1.25773195876289,426,1.27934272300469,3096,1.07041343669251,2218,1.05545536519387,47,1,41,1
safety,707,358,50.6364922206506,4,1,2,1,384,1.2265625,178,1.21348314606742,312,1.02884615384615,172,1.00581395348837,7,1,6,1
excitement,2046,1375,67.2043010752688,1,1,1,1,308,1.12337662337662,196,1.12244897959184,1736,1.03398617511521,1178,1.02716468590832,1,1,0,1
fitness,1230,835,67.8861788617886,15,1,12,1,236,1.29661016949153,168,1.33928571428571,858,1.08391608391608,576,1.06076388888889,121,1,79,1
protection,537,334,62.1973929236499,6,1,4,1,259,1.27027027027027,146,1.23972602739726,256,1.109375,169,1.11834319526627,16,1,15,1
freedom,730,510,69.8630136986301,6,1.16666666666667,6,1.16666666666667,288,1.19791666666667,201,1.21890547263682,393,1.03307888040712,268,1.02238805970149,43,1,35,1
comfort,7810,6227,79.7311139564661,34,1,28,1,273,1.27472527472527,213,1.30985915492958,7423,1.11585612286138,5923,1.09133884855647,80,1,63,1
desire,7275,5482,75.3539518900344,12,1,9,1,268,1.08955223880597,222,1.09459459459459,6950,1.08172661870504,5217,1.04811194172896,45,1,34,1
hunger,426,311,73.0046948356808,1,1,0,1,241,1.17427385892116,196,1.19387755102041,183,1.01092896174863,114,1,1,1,1,1
AVERAGE,3554.33333333333,2777.08333333333,70.2141093077216,21.75,1.03543771043771,18.6666666666667,1.03730607120438,459.25,1.27562134059408,284.166666666667,1.27555500823231,2166.5,1.07404231170301,1597.83333333333,1.05459342500926,906.833333333333,1,876.416666666667,1
